match_datetime,duration,duration_sec,radiant_kills,dire_kills,winning_team
2025-01-10 23:40,54:53,3293,49,45,radiant
2025-01-11 02:17,54:21,3261,55,45,radiant
2025-01-17 22:08,39:11,2351,43,26,radiant
2025-01-17 22:55,24:10,1450,32,11,radiant
2025-01-18 00:29,70:06,4206,60,43,dire
2025-01-18 01:33,41:44,2504,47,35,radiant
2025-01-22 22:29,58:54,3534,37,40,dire
2025-01-22 23:55,58:37,3517,44,46,radiant
2025-01-24 20:36,23:16,1396,6,19,dire
2025-01-24 21:29,29:42,1782,39,21,radiant
2025-01-24 22:06,18:14,1094,7,33,dire
2025-01-24 23:33,55:24,3324,50,36,radiant
2025-01-31 22:07,42:35,2555,23,44,dire
2025-01-31 23:31,34:36,2076,28,33,dire
2025-02-01 00:20,29:48,1788,19,47,dire
2025-02-01 02:20,53:59,3239,51,36,radiant
2025-02-07 21:59,35:21,2121,45,39,radiant
2025-02-07 22:49,29:01,1741,16,24,dire
2025-02-07 23:54,37:48,2268,26,32,dire
2025-02-14 22:51,49:00,2940,19,34,radiant
2025-02-21 22:11,43:18,2598,38,40,dire
2025-02-21 23:13,35:22,2122,52,19,radiant
2025-02-22 00:15,40:17,2417,46,28,radiant
2025-02-23 23:57,53:06,3186,33,40,dire
2025-02-25 20:04,46:29,2789,47,38,radiant
2025-02-25 20:05,43:55,2635,23,33,dire
2025-02-25 21:04,42:35,2555,39,68,dire
2025-02-25 21:46,25:52,1552,31,11,radiant
2025-02-28 21:53,31:07,1867,35,11,radiant
2025-02-28 23:00,52:25,3145,33,31,dire
2025-03-01 00:12,46:31,2791,28,26,dire
2025-03-02 21:59,32:13,1933,29,38,dire
2025-03-02 22:04,37:16,2236,34,15,radiant
2025-03-07 22:24,52:15,3135,35,36,radiant
2025-03-07 23:48,63:51,3831,48,47,dire
2025-03-08 01:11,28:58,1738,14,40,dire
2025-05-22 23:32,46:36,2796,41,36,radiant
2025-05-23 00:31,42:30,2550,26,54,dire
2025-05-23 22:25,48:18,2898,29,40,dire
2025-05-23 23:23,40:06,2406,46,23,radiant
2025-05-24 00:25,40:41,2441,40,22,radiant
2025-05-24 20:27,40:22,2422,19,42,dire
2025-05-25 00:09,65:19,3919,62,59,dire
2025-05-25 00:10,24:45,1485,29,9,radiant
2025-05-26 22:33,47:30,2850,46,31,radiant
2025-05-26 23:38,39:51,2391,27,17,radiant
2025-05-28 23:06,24:52,1492,14,33,dire
2025-05-28 23:47,22:24,1344,24,7,radiant
2025-05-29 23:34,34:14,2054,41,29,radiant
2025-05-30 00:58,15:25,925,19,4,radiant
2025-05-30 00:59,26:24,1584,11,24,dire
2025-05-30 22:12,44:23,2663,32,36,dire
2025-05-30 23:25,47:42,2862,7,41,dire
2025-05-31 00:32,36:34,2194,40,19,radiant
2025-05-31 01:43,53:49,3229,52,31,radiant
2025-06-02 21:08,45:51,2751,48,30,radiant
2025-06-02 22:06,27:07,1627,38,13,radiant
2025-06-02 23:16,42:47,2567,37,38,dire
2025-06-03 00:36,58:03,3483,35,48,dire
2025-06-05 23:00,45:35,2735,33,45,dire
2025-06-06 00:05,46:45,2805,47,28,radiant
2025-06-06 22:22,44:19,2659,37,33,radiant
2025-06-06 23:42,47:27,2847,27,48,dire
2025-06-07 00:19,19:22,1162,17,11,radiant
2025-06-07 01:13,33:30,2010,28,20,dire
2025-06-08 21:57,34:19,2059,22,40,dire
2025-06-08 22:59,40:21,2421,51,27,radiant
2025-06-09 02:34,38:03,2283,33,16,radiant
2025-06-15 22:58,53:38,3218,52,38,radiant
2025-06-15 23:54,27:53,1673,15,50,dire
2025-06-29 22:16,44:36,2676,44,21,radiant
2025-06-29 23:12,30:37,1837,46,17,radiant
2025-07-05 22:08,34:55,2095,52,25,radiant
2025-07-05 23:08,40:25,2425,35,55,dire
2025-07-06 23:47,34:15,2055,38,25,radiant
2025-07-06 23:59,58:24,3504,52,55,dire
2025-07-09 21:02,25:48,1548,12,40,dire
2025-07-09 22:23,36:18,2178,38,21,radiant
2025-07-09 23:25,34:01,2041,56,24,radiant
2025-07-11 22:48,44:40,2680,43,35,radiant
2025-07-11 23:16,19:15,1155,28,8,radiant
2025-07-12 00:10,35:17,2117,30,32,radiant
2025-07-12 01:29,34:44,2084,49,19,radiant
2025-07-13 21:48,31:05,1865,31,17,radiant
2025-07-13 22:44,35:23,2123,33,14,radiant
2025-07-13 23:52,45:54,2754,49,16,radiant
2025-07-14 21:55,43:30,2610,39,26,radiant
2025-07-14 23:20,59:27,3567,57,61,radiant
2025-07-18 23:22,22:21,1341,29,7,radiant
2025-07-20 22:20,36:59,2219,43,26,radiant
2025-07-20 23:26,34:05,2045,43,31,radiant
2025-07-21 00:50,36:44,2204,42,16,radiant
2025-07-26 00:04,45:10,2710,27,46,dire
2025-07-26 01:04,45:44,2744,28,50,dire
2025-07-26 02:04,14:49,889,21,4,radiant
2025-07-26 03:04,35:33,2133,22,45,dire
2025-08-10 22:43,28:28,1708,37,13,radiant
2025-08-10 23:49,46:30,2790,40,32,radiant
2025-09-12 23:23,22:55,1375,25,6,radiant
2025-09-13 00:29,42:30,2550,19,31,dire
2025-09-13 02:04,1:07:32,4052,52,43,radiant
2025-09-19 21:24,34:27,2067,20,36,dire
2025-09-19 22:48,46:42,2802,41,23,radiant
2025-09-19 23:55,43:15,2595,9,42,dire
2025-09-20 00:44,29:44,1784,39,20,radiant
2025-09-21 22:42,48:52,2932,28,33,dire
2025-09-21 23:52,49:19,2959,30,49,dire
2025-09-26 22:31,42:24,2544,41,18,radiant
2025-09-27 00:07,1:11:46,4306,50,44,dire
2025-10-03 22:32,46:45,2805,25,46,dire
2025-10-03 23:38,41:54,2514,45,29,radiant
2025-10-04 00:30,33:41,2021,7,31,dire
2025-10-04 01:41,43:58,2638,38,20,radiant
