match_id,player_name,team,position,net_worth,kills,deaths,assists
302b0003c88f5e03a7ebdcfb72c8e7c9,palec,radiant,4,14161,2,7,15
302b0003c88f5e03a7ebdcfb72c8e7c9,imba,radiant,1,38330,20,1,10
302b0003c88f5e03a7ebdcfb72c8e7c9,aizlkel,radiant,5,18852,6,15,23
302b0003c88f5e03a7ebdcfb72c8e7c9,sobolew,radiant,3,24387,5,5,23
302b0003c88f5e03a7ebdcfb72c8e7c9,katokan,radiant,2,21868,4,9,21
302b0003c88f5e03a7ebdcfb72c8e7c9,pizza,dire,5,12827,6,5,20
302b0003c88f5e03a7ebdcfb72c8e7c9,poopy,dire,4,16505,6,12,18
302b0003c88f5e03a7ebdcfb72c8e7c9,dextron,dire,3,15600,8,7,8
302b0003c88f5e03a7ebdcfb72c8e7c9,toyota,dire,1,22755,3,5,12
302b0003c88f5e03a7ebdcfb72c8e7c9,starlight,dire,2,19327,14,11,9
b41eb8a8ce3d5e6dacd7b1756a2c647c,pizza,radiant,5,8052,7,7,9
b41eb8a8ce3d5e6dacd7b1756a2c647c,imba,radiant,1,17387,12,4,8
b41eb8a8ce3d5e6dacd7b1756a2c647c,itnon,radiant,4,6408,1,12,10
b41eb8a8ce3d5e6dacd7b1756a2c647c,dextron,radiant,3,8620,2,10,9
b41eb8a8ce3d5e6dacd7b1756a2c647c,starlight,radiant,2,11519,2,9,10
b41eb8a8ce3d5e6dacd7b1756a2c647c,poopy,dire,2,16602,10,3,19
b41eb8a8ce3d5e6dacd7b1756a2c647c,palec,dire,4,12165,0,5,24
b41eb8a8ce3d5e6dacd7b1756a2c647c,fishscale,dire,1,28020,25,1,8
b41eb8a8ce3d5e6dacd7b1756a2c647c,kebab,dire,5,11994,5,3,18
b41eb8a8ce3d5e6dacd7b1756a2c647c,aizlkel,dire,3,13849,2,12,24
0af3e3e06d105a4099e6d5bcef35b19e,dextron,radiant,3,15878,3,7,15
0af3e3e06d105a4099e6d5bcef35b19e,kebab,radiant,4,12194,3,4,12
0af3e3e06d105a4099e6d5bcef35b19e,starlight,radiant,1,19571,5,9,13
0af3e3e06d105a4099e6d5bcef35b19e,itnon,radiant,5,9359,1,8,11
0af3e3e06d105a4099e6d5bcef35b19e,imba,radiant,2,23902,14,4,4
0af3e3e06d105a4099e6d5bcef35b19e,egor,dire,4,17498,4,7,14
0af3e3e06d105a4099e6d5bcef35b19e,fishscale,dire,1,36597,22,1,2
0af3e3e06d105a4099e6d5bcef35b19e,poopy,dire,2,17861,4,6,14
0af3e3e06d105a4099e6d5bcef35b19e,pizza,dire,5,12924,1,8,22
0af3e3e06d105a4099e6d5bcef35b19e,katokan,dire,3,23545,1,7,13
04af4ba9bddd58fb9e950712546c16da,pizza,radiant,5,8596,5,10,11
04af4ba9bddd58fb9e950712546c16da,yak,radiant,2,11632,8,10,6
04af4ba9bddd58fb9e950712546c16da,kebab,radiant,4,8943,3,9,4
04af4ba9bddd58fb9e950712546c16da,aizlkel,radiant,3,6208,1,13,10
04af4ba9bddd58fb9e950712546c16da,toyota,radiant,1,12755,5,4,9
04af4ba9bddd58fb9e950712546c16da,fishscale,dire,1,26127,24,1,10
04af4ba9bddd58fb9e950712546c16da,itnon,dire,4,9482,4,7,18
04af4ba9bddd58fb9e950712546c16da,egor,dire,3,13509,2,4,19
04af4ba9bddd58fb9e950712546c16da,emperor,dire,2,23071,12,5,19
04af4ba9bddd58fb9e950712546c16da,palandirka,dire,5,10576,4,7,18
15142ce873a65036b1fd55eb1261d99d,itnon,radiant,4,11746,1,5,20
15142ce873a65036b1fd55eb1261d99d,palandirka,radiant,5,13747,4,9,24
15142ce873a65036b1fd55eb1261d99d,egor,radiant,3,25277,8,4,17
15142ce873a65036b1fd55eb1261d99d,fishscale,radiant,1,45383,27,1,10
15142ce873a65036b1fd55eb1261d99d,emperor,radiant,2,21012,9,3,38
15142ce873a65036b1fd55eb1261d99d,toyota,dire,1,16246,12,6,8
15142ce873a65036b1fd55eb1261d99d,starlight,dire,2,18554,4,13,6
15142ce873a65036b1fd55eb1261d99d,pizza,dire,5,6633,0,12,7
15142ce873a65036b1fd55eb1261d99d,kebab,dire,4,10688,5,7,8
15142ce873a65036b1fd55eb1261d99d,aizlkel,dire,3,13931,1,11,9
57197e89c18e5dca845e39edc1bc3c2b,pizza,radiant,2,16165,5,8,19
57197e89c18e5dca845e39edc1bc3c2b,palec,radiant,4,11599,1,11,19
57197e89c18e5dca845e39edc1bc3c2b,katokan,radiant,1,31834,24,6,9
57197e89c18e5dca845e39edc1bc3c2b,fishscale,radiant,5,14914,7,5,26
57197e89c18e5dca845e39edc1bc3c2b,aizlkel,radiant,3,12525,1,10,25
57197e89c18e5dca845e39edc1bc3c2b,itnon,dire,5,6320,2,11,20
57197e89c18e5dca845e39edc1bc3c2b,emperor,dire,2,17950,14,3,18
57197e89c18e5dca845e39edc1bc3c2b,dextron,dire,3,12339,3,9,9
57197e89c18e5dca845e39edc1bc3c2b,egor,dire,1,20906,14,6,9
57197e89c18e5dca845e39edc1bc3c2b,toyota,dire,4,11001,7,9,19
6633f0cecb4c5c8abdd85dddfd3536f0,pizza,radiant,5,20118,7,9,31
6633f0cecb4c5c8abdd85dddfd3536f0,fishscale,radiant,3,50484,22,3,18
6633f0cecb4c5c8abdd85dddfd3536f0,palec,radiant,4,16703,3,10,22
6633f0cecb4c5c8abdd85dddfd3536f0,aizlkel,radiant,1,20917,3,13,9
6633f0cecb4c5c8abdd85dddfd3536f0,katokan,radiant,2,31196,17,6,21
6633f0cecb4c5c8abdd85dddfd3536f0,toyota,dire,5,11938,2,12,15
6633f0cecb4c5c8abdd85dddfd3536f0,emperor,dire,1,30677,23,11,10
6633f0cecb4c5c8abdd85dddfd3536f0,egor,dire,2,20248,8,12,16
6633f0cecb4c5c8abdd85dddfd3536f0,itnon,dire,4,13940,3,9,12
6633f0cecb4c5c8abdd85dddfd3536f0,dextron,dire,3,17394,4,8,18
8168109dd527515ea0da3e7bd9acb751,imba,radiant,1,40304,12,3,12
8168109dd527515ea0da3e7bd9acb751,palec,radiant,4,18822,4,10,12
8168109dd527515ea0da3e7bd9acb751,aizlkel,radiant,5,11636,3,18,16
8168109dd527515ea0da3e7bd9acb751,rubius,radiant,3,17352,1,9,19
8168109dd527515ea0da3e7bd9acb751,katokan,radiant,2,23793,7,2,10
8168109dd527515ea0da3e7bd9acb751,fishscale,dire,1,34375,13,2,12
8168109dd527515ea0da3e7bd9acb751,dextron,dire,3,20512,10,5,15
8168109dd527515ea0da3e7bd9acb751,pizza,dire,5,10363,2,8,18
8168109dd527515ea0da3e7bd9acb751,kebab,dire,4,13478,7,7,18
8168109dd527515ea0da3e7bd9acb751,starlight,dire,2,22508,8,5,14
cb825b77f9595a929d18c82ebdf849bb,pizza,radiant,4,7915,5,6,11
cb825b77f9595a929d18c82ebdf849bb,kebab,radiant,5,9773,3,2,20
